pays,devise_origine,ville,nom_magasin,produit,prix_unitaire_original,vendeur,quantite_vendue,prix_total_original,date_vente,prix_unitaire_gbp,prix_total_gbp,taux_conversion,date_transformation
États-Unis,USD,Los Angeles,QuickShop USA,Pommes,1.8,Alice,5,9.0,2025-02-22 23:02:42,1.42,7.11,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Pommes,1.8,Bob,4,7.2,2025-02-22 23:02:42,1.42,5.69,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Pommes,1.8,Charlie,10,18.0,2025-02-22 23:02:42,1.42,14.22,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Pommes,1.8,David,2,3.6,2025-02-22 23:02:42,1.42,2.84,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Pommes,1.8,Eve,9,16.2,2025-02-22 23:02:42,1.42,12.8,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Bananes,0.95,Alice,2,1.9,2025-02-22 23:02:42,0.75,1.5,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Bananes,0.95,Bob,10,9.5,2025-02-22 23:02:42,0.75,7.51,0.79,2025-02-22 23:02:45
États-Unis,USD,Los Angeles,QuickShop USA,Bananes,0.95,Charlie,3,2.85,2025-02-22 23:02:42,0.75,2.25,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Bananes,0.95,David,3,2.85,2025-02-22 23:02:42,0.75,2.25,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Bananes,0.95,Eve,8,7.6,2025-02-22 23:02:42,0.75,6.0,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Lait,2.4,Alice,6,14.4,2025-02-22 23:02:42,1.9,11.38,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Lait,2.4,Bob,9,21.6,2025-02-22 23:02:42,1.9,17.06,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Lait,2.4,Charlie,1,2.4,2025-02-22 23:02:42,1.9,1.9,0.79,2025-02-22 23:02:45
États-Unis,USD,Los Angeles,QuickShop USA,Lait,2.4,David,5,12.0,2025-02-22 23:02:42,1.9,9.48,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Lait,2.4,Eve,7,16.8,2025-02-22 23:02:42,1.9,13.27,0.79,2025-02-22 23:02:45
États-Unis,USD,Los Angeles,QuickShop USA,Pain,1.45,Alice,4,5.8,2025-02-22 23:02:42,1.15,4.58,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Pain,1.45,Bob,5,7.25,2025-02-22 23:02:42,1.15,5.73,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Pain,1.45,Charlie,2,2.9,2025-02-22 23:02:42,1.15,2.29,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Pain,1.45,David,8,11.6,2025-02-22 23:02:42,1.15,9.16,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Pain,1.45,Eve,4,5.8,2025-02-22 23:02:42,1.15,4.58,0.79,2025-02-22 23:02:45
États-Unis,USD,Los Angeles,SuperMart USA,Œufs,3.0,Alice,7,21.0,2025-02-22 23:02:42,2.37,16.59,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,SuperMart USA,Œufs,3.0,Bob,2,6.0,2025-02-22 23:02:42,2.37,4.74,0.79,2025-02-22 23:02:45
États-Unis,USD,Los Angeles,QuickShop USA,Œufs,3.0,Charlie,8,24.0,2025-02-22 23:02:42,2.37,18.96,0.79,2025-02-22 23:02:45
États-Unis,USD,Los Angeles,SuperMart USA,Œufs,3.0,David,3,9.0,2025-02-22 23:02:42,2.37,7.11,0.79,2025-02-22 23:02:45
États-Unis,USD,New York,QuickShop USA,Œufs,3.0,Eve,4,12.0,2025-02-22 23:02:42,2.37,9.48,0.79,2025-02-22 23:02:45
France,EUR,Lyon,QuickShop France,Pommes,1.3,Jean,2,2.6,2025-02-22 23:02:41,1.1,2.21,0.85,2025-02-22 23:02:45
France,EUR,Lyon,SuperMart France,Pommes,1.3,Marie,10,13.0,2025-02-22 23:02:41,1.1,11.05,0.85,2025-02-22 23:02:45
France,EUR,Paris,SuperMart France,Pommes,1.3,Pierre,4,5.2,2025-02-22 23:02:41,1.1,4.42,0.85,2025-02-22 23:02:45
France,EUR,Lyon,SuperMart France,Pommes,1.3,Sophie,10,13.0,2025-02-22 23:02:41,1.1,11.05,0.85,2025-02-22 23:02:45
France,EUR,Paris,SuperMart France,Pommes,1.3,Luc,6,7.800000000000001,2025-02-22 23:02:41,1.1,6.63,0.85,2025-02-22 23:02:45
France,EUR,Lyon,SuperMart France,Bananes,0.7,Jean,2,1.4,2025-02-22 23:02:41,0.59,1.19,0.85,2025-02-22 23:02:45
France,EUR,Paris,SuperMart France,Bananes,0.7,Marie,8,5.6,2025-02-22 23:02:41,0.59,4.76,0.85,2025-02-22 23:02:45
France,EUR,Paris,QuickShop France,Bananes,0.7,Pierre,6,4.199999999999999,2025-02-22 23:02:41,0.59,3.57,0.85,2025-02-22 23:02:45
France,EUR,Lyon,QuickShop France,Bananes,0.7,Sophie,1,0.7,2025-02-22 23:02:41,0.59,0.59,0.85,2025-02-22 23:02:45
France,EUR,Lyon,SuperMart France,Bananes,0.7,Luc,1,0.7,2025-02-22 23:02:41,0.59,0.59,0.85,2025-02-22 23:02:45
France,EUR,Paris,QuickShop France,Lait,1.8,Jean,4,7.2,2025-02-22 23:02:41,1.53,6.12,0.85,2025-02-22 23:02:45
France,EUR,Paris,QuickShop France,Lait,1.8,Marie,6,10.8,2025-02-22 23:02:41,1.53,9.18,0.85,2025-02-22 23:02:45
France,EUR,Paris,QuickShop France,Lait,1.8,Pierre,7,12.6,2025-02-22 23:02:41,1.53,10.71,0.85,2025-02-22 23:02:45
France,EUR,Lyon,SuperMart France,Lait,1.8,Sophie,2,3.6,2025-02-22 23:02:41,1.53,3.06,0.85,2025-02-22 23:02:45
France,EUR,Lyon,QuickShop France,Lait,1.8,Luc,6,10.8,2025-02-22 23:02:41,1.53,9.18,0.85,2025-02-22 23:02:45
France,EUR,Paris,QuickShop France,Pain,1.0,Jean,1,1.0,2025-02-22 23:02:41,0.85,0.85,0.85,2025-02-22 23:02:45
France,EUR,Lyon,QuickShop France,Pain,1.0,Marie,7,7.0,2025-02-22 23:02:41,0.85,5.95,0.85,2025-02-22 23:02:45
France,EUR,Lyon,QuickShop France,Pain,1.0,Pierre,7,7.0,2025-02-22 23:02:41,0.85,5.95,0.85,2025-02-22 23:02:45
France,EUR,Paris,QuickShop France,Pain,1.0,Sophie,6,6.0,2025-02-22 23:02:41,0.85,5.1,0.85,2025-02-22 23:02:45
